INSTITUIÇÃO,ANO,ÁREA,TEMA,SUBTEMA,MODELO DE QUESTÃO,CONCEITO MATADOR,
IAMSPE,2022,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS PÓS-OPERATÓRIOS,Caso clínico,Investigação e conduta de suspeita de coleção no pós op de apendicite (USG),
UNIFESP ,2023,OFTALMOLOGIA,OFTALMOLOGIA,ÓRBITA,Caso clínico,Diagnóstico de celulite orbitária,
IAMSPE,2022,CIRURGIA GERAL,PROCEDIMENTOS CIRURGICOS,PRINCÍPIOS E CONCEITOS EM VIDEOLAPAROSCOPIA,Multimídia,Determinar qual cirurgia tinha sido realizada baseada nas incisões de videolaparoscopia  ,
UNIFESP,2022,OFTALMOLOGIA,GLAUCOMA FECHADO,DIAGNÓSTICO,Caso clínico,Diagnóstico de glaucoma agudo e o ,
HIAE,2023,UROLOGIA,INFECÇÕES UROLÓGICAS,PROSTATITES,Caso clínico,inferir diagnóstico de prostatite aguda e o seu tratamento (sensação de peso perineal em homem idoso),
HIAE,2023,CIRURGIA CABEÇA E PESCOÇO,COMPLICAÇÕES INFECCIOSAS CERVICAIS,ABCESSO CERVICAL,Caso clínico,Tratamento abcesso cervical (explorar + busca de foco - normalmente odontológico),
IAMSPE,2023,CIRURGIA GERAL,DISFAGIA E DOENÇAS DO ESÔFAGO,TRATAMENTO CIRÚRGICO DRGE,Questão direta,Técnica cirúrgica short floppy Nissen (onde colocar a sutura) - questão absurda,
IAMSPE,2023,CIRURGIA GERAL ONCOLÓGICA,CÂNCER DE ESÔFAGO,TRATAMENTO CIRÚRGICO CÂNCER DE ESÔFAGO,Questão direta,Nome da técnica cirúrgica com anastomose gastroesofágica intratorácica,
HIAE,2023,OTORRINOLARINGOLOGIA,VERTIGEM,TRATAMENTO VERTIGEM,Caso clínico,Manobra de DIX halpike quando fazer e componente rotatório,
HIAE,2023,CIRURGIA GERAL,COLELITÍASE E OUTRAS DOENÇAS DA VIA BILIAR,EXPLORAÇÃO VIA BILIAR,Caso clínico,Risco de coledocolitíase no pré op e abordagem,
IAMSPE,2022,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS PRÉ-OPERATÓRIOS,Questão direta,"Suspensão de medicações no pré op (AAS, Clopidogrel, semaglutida)",
HIAE,2023,CIRURGIA VASCULAR,OCLUSÃO ARTERIAL AGUDA,COMPLICAÇÕES TRATAMENTO VASCULAR,Caso clínico,Diagnóstico de síndrome compartimental pós embolectomia e seu tratamento,
HIAE,2023,CIRURGIA TORÁCICA,CÂNCER PULMÃO,TRATAMENTO NÓDULO PULMONAR,Caso clínico,"Conduta diante de nódulo de 1,2cm - estratificação de risco",
HIAE,2022,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS INTRA-OPERATÓRIOS,Questão direta,Cálculo de perdas insensíveis intraop para reposição de cristalóide,
HIAE,2022,CIRURGIA GERAL ONCOLÓGICA,TUMOR PERIAMPULAR,DIAGNÓSTICO TUMOR PERIAMPULAR,Caso clínico,Sinal de Curvosier Terrier como patognomônico de neoplasia periampular,
HIAE,2023,UROLOGIA,"BEXIGA NEUROGÊNICA, HIPERATIVA E INCONTINÊNCIA URINÁRIA DE ESFORÇO",TRATAMENTO URGEINCONTINÊNCIA,Caso clínico,Medicações para urgeincontinência e contraindicações (lembrar da oxibutina ser contraindicada em idoso),
IAMSPE,2022,COLOPROCTOLOGIA,DOENÇAS ORIFICIAIS,FÍSTULA PERIANAL,Multimídia,Regra de Goodsall,
HIAE,2022,CIRURGIA GERAL,ABDOMEN AGUDO,ABDOMEN AGUDO OBSTRUTIVO,Multimídia,O que não fazer diante abdome agudo obstrutivo (contraste baritado),
IAMSPE,2023,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,NUTRIÇÃO,Questão direta,Benefício do omega 3 (redução da resposta inflamatória),
HIAE,2023,CIRURGIA VASCULAR,ANEURISMAS,ANEURISMA DE AORTA ABDOMINAL,Multimídia,Tratamento do aneurisma baseado no tamanho e identifcar se ruptura ou estável,
HIAE,2023,CIRURGIA GERAL ONCOLÓGICA,CÂNCER COLORRETAL,DIAGNÓSTICO CÂNCER COLORRETAL,Caso clínico,Anemia + dor abdominal + idade acima de 50 anos = colonoscopia,
UNIFESP,2023,OFTALMOLOGIA,GLAUCOMA FECHADO,MEDICAÇÕES CONTRAINDICADAS GLAUCOMA FECHADO,Questão direta,"Quais medicações não devem ser prescritas (escitalopram, clonazeoan, ipatropio). Atorvastatina está ok",
HIAE,2023,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS PRÉ OPERATÓRIOS,Caso clínico,"O que não fazer na entubaçào de abdome agudo obstrutivo (ambu) e o que pode fazer (sellick, pré oxigenacao, bloqueio NM)",
UNIFESP,2022,OFTALMOLOGIA,GLAUCOMA ABERTO,FATORES DE RISCO GLAUCOMA ABERTO,Questão direta,Idade e saber que miopia aumenta fator de rsico para glaucoma de angulo aberto,
HIAE,2023,CIRURGIA GERAL ONCOLÓGICA,CÂNCER GÁSTRICO,FATORES DE RISCO CÂNCER GÁSTRICO,Questão direta ,Saber que H pylori é um dos principais fatores de risco para ca gastrico,
IAMSPE,2023,CIRURGIA GERAL ONCOLÓGICA,SÍNDROME CARCINÓIDE,SINAIS E SINTOMAS SÍNDROME CARCINÓIDE,Questão direta,Diarréia é o principal sinal da síndrome carcinóide,
HIAE,2022,CIRURGIA DO TRAUMA,TRAUMA TORÁCICO,DRENO DE TORÁX,Caso clínico,Critérios para retirada do dreno (débito <100 e oscilante),
IAMSPE,2023,CIRURGIA GERAL,PANCREATITE,COMPLICAÇÕES PANCREATITE,Questão direta,Definições de pancreatite necrosante ,
HIAE,2022,CIRURGIA GERAL,DISFAGIA E DOENÇAS DO ESÔFAGO,BARRET,Caso clínico,Tratamento Barret baseado no risco,
IAMSPE,2023,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS PÓS-OPERATÓRIOS,Questão direta,Classificação Clavien Dindo,
HIAE,2023,CIRURGIA GERAL,CUIDADOS OPERATÓRIOS,CUIDADOS INTRA-OPERATÓRIOS,Questão direta,Como organizar mesa cirúrgica por tipo de material,
IAMSPE,2023,CIRURGIA GERAL ONCOLÓGICA,CÂNCER DE ESÔFAGO,PATOLOGIA CÂNCER DE ESÔFAGO,Questão direta,TIpo de tumor mais frequente na transicão esôfago gástrica (adenocarcinoma),
IAMSPE,2022,CIRURGIA GERAL ONCOLÓGICA,CÂNCER HEPÁTICO,MARCADORES TUMORAIS,Questão direta,"Marcadores do Ca hepático vs outros cânceres (CEA, alfa feto)",
